latitude,longitude
25.493047,101.1796
25.497505,101.199406
25.47049,101.176978
25.491278,101.186838
25.489832,101.18147
25.498794,101.197778
25.49066,101.201272
25.494675,101.181407
25.493688,101.180411
25.498785,101.189501
25.488151,101.183191
25.502225,101.188455
25.485717,101.186479
25.495323,101.193654
25.494127,101.194308
25.511416,101.185936
25.484878,101.181862
25.49616,101.20129
25.488861,101.181598
25.481755,101.196506
25.517433,101.215432
25.503345,101.212322
25.511167,101.212187
25.518714,101.212236
25.516789,101.210676
25.512891,101.216313
25.495428,101.206803
25.505296,101.203611
25.507249,101.224949
25.501342,101.219683
25.493171,101.206651
25.511628,101.215862
25.517112,101.217933
25.506513,101.205376
25.51858,101.208087
25.497243,101.198667
25.500805,101.214972
25.511424,101.216905
25.505727,101.211585
25.516256,101.206907
25.504568,101.173381
25.496369,101.176183
25.488042,101.18487
25.495306,101.180125
25.504807,101.184465
25.506654,101.179015
25.495767,101.179203
25.483127,101.165529
25.486773,101.170028
25.503998,101.170945
25.496218,101.192992
25.496437,101.187375
25.490664,101.177946
25.4905,101.17661
25.508403,101.162727
25.504344,101.182377
25.494059,101.165539
25.500721,101.174705
25.502327,101.180219
25.516018,101.177606
