latitude,longitude
25.306312,100.810759
25.303831,100.814316
25.303801,100.797915
25.310665,100.814038
25.32437,100.81328
25.294926,100.790915
25.29963,100.799424
25.296275,100.813981
25.29757,100.800507
25.301233,100.78533
25.293469,100.81586
25.301328,100.792102
25.313613,100.79234
25.300243,100.799399
25.276145,100.812399
25.312823,100.810575
25.312715,100.815654
25.319403,100.796143
25.277181,100.796678
25.317214,100.82142
25.301114,100.800139
25.29624,100.789527
25.278736,100.811653
25.326081,100.788295
25.314944,100.796071
25.328062,100.798948
25.301158,100.800689
25.311807,100.77267
25.285868,100.817454
25.283018,100.820737
